Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
290,200,-12.250000000000023,0,0.2422
291,200,-13.450000000000028,0,0.2411
292,200,-12.250000000000025,0,0.2399
293,200,-13.500000000000032,0,0.2388
294,200,-12.800000000000027,0,0.2376
295,200,-13.850000000000035,0,0.2365
296,200,-11.950000000000022,0,0.2354
297,200,-12.750000000000025,0,0.2342
298,200,-12.850000000000028,0,0.2331
299,200,-13.350000000000033,0,0.2320
300,200,-12.20000000000002,0,0.2309
301,200,-9.20000000000001,0,0.2298
302,200,-11.200000000000019,0,0.2287
303,200,-12.55000000000003,0,0.2276
304,187,89.59999999999998,1,0.2265
305,200,-13.15000000000003,0,0.2254
306,200,-11.200000000000019,0,0.2244
307,200,-11.65000000000002,0,0.2233
308,200,-12.700000000000024,0,0.2222
309,200,-13.850000000000032,0,0.2212
310,200,-12.850000000000028,0,0.2201
311,200,-12.300000000000026,0,0.2191
312,200,-13.850000000000032,0,0.2180
313,200,-13.15000000000003,0,0.2170
314,200,-12.700000000000028,0,0.2160
315,200,-11.55000000000002,0,0.2149
316,200,-12.650000000000027,0,0.2139
317,200,-12.350000000000026,0,0.2129
318,200,-12.200000000000026,0,0.2119
319,200,-10.500000000000012,0,0.2109
320,200,-8.299999999999999,0,0.2099
321,200,-8.400000000000004,0,0.2089
322,200,-13.300000000000031,0,0.2079
323,200,-12.200000000000031,0,0.2069
324,200,-12.800000000000026,0,0.2059
325,200,-10.250000000000014,0,0.2049
326,200,-9.300000000000008,0,0.2040
327,200,-10.850000000000016,0,0.2030
328,200,-13.10000000000003,0,0.2020
329,200,-13.850000000000033,0,0.2011
330,200,-12.050000000000026,0,0.2001
331,200,-13.10000000000003,0,0.1992
332,200,-13.15000000000003,0,0.1982
333,200,-11.55000000000002,0,0.1973
334,200,-12.20000000000002,0,0.1964
335,200,-13.60000000000003,0,0.1954
336,200,-12.650000000000022,0,0.1945
337,200,-12.800000000000026,0,0.1936
338,200,-13.30000000000003,0,0.1927
339,200,-12.650000000000029,0,0.1918
340,200,-12.25000000000002,0,0.1909
341,200,-10.350000000000014,0,0.1900
342,200,-12.100000000000023,0,0.1891
343,200,-13.250000000000028,0,0.1882
344,200,-12.200000000000022,0,0.1873
345,200,-11.350000000000016,0,0.1864
346,200,-12.600000000000028,0,0.1855
347,200,-13.450000000000028,0,0.1846
348,200,-11.900000000000023,0,0.1838
349,200,-12.600000000000028,0,0.1829
350,200,-13.950000000000033,0,0.1820
351,200,-12.800000000000026,0,0.1812
352,200,-13.600000000000028,0,0.1803
353,200,-13.25000000000003,0,0.1795
354,200,-13.650000000000034,0,0.1786
355,200,-12.700000000000026,0,0.1778
356,200,-12.650000000000023,0,0.1770
357,200,-13.400000000000029,0,0.1761
358,200,-14.200000000000035,0,0.1753
359,200,-10.90000000000002,0,0.1745
360,200,-10.75000000000002,0,0.1736
