Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
287,46,100.45,1,0.2457
288,29,100.45,1,0.2446
289,117,95.35,1,0.2434
290,33,100.45,1,0.2422
291,31,100.45,1,0.2411
292,127,97.85,1,0.2399
293,29,100.45,1,0.2388
294,26,100.45,1,0.2376
295,33,100.45,1,0.2365
296,33,100.45,1,0.2354
297,29,100.45,1,0.2342
298,37,100.45,1,0.2331
299,32,100.45,1,0.2320
300,32,100.45,1,0.2309
301,38,100.45,1,0.2298
302,27,100.45,1,0.2287
303,29,100.45,1,0.2276
304,32,100.45,1,0.2265
305,31,100.45,1,0.2254
306,31,100.25,1,0.2244
307,38,100.45,1,0.2233
308,28,100.45,1,0.2222
309,26,100.45,1,0.2212
310,35,100.45,1,0.2201
311,32,100.45,1,0.2191
312,41,100.45,1,0.2180
313,27,100.45,1,0.2170
314,35,100.45,1,0.2160
315,28,100.45,1,0.2149
316,30,100.45,1,0.2139
317,29,100.45,1,0.2129
318,46,100.25,1,0.2119
319,27,100.45,1,0.2109
320,30,100.45,1,0.2099
321,39,100.45,1,0.2089
322,27,100.45,1,0.2079
323,44,100.45,1,0.2069
324,34,100.45,1,0.2059
325,27,100.45,1,0.2049
326,29,100.45,1,0.2040
327,27,100.45,1,0.2030
328,28,100.45,1,0.2020
329,41,100.45,1,0.2011
330,43,100.45,1,0.2001
331,37,100.45,1,0.1992
332,28,100.45,1,0.1982
333,28,100.45,1,0.1973
334,28,100.25,1,0.1964
335,27,100.45,1,0.1954
336,42,100.45,1,0.1945
337,26,100.45,1,0.1936
338,29,100.45,1,0.1927
339,26,100.45,1,0.1918
340,34,100.25,1,0.1909
341,27,100.45,1,0.1900
342,30,100.45,1,0.1891
343,30,100.25,1,0.1882
344,26,100.45,1,0.1873
345,26,100.45,1,0.1864
346,33,100.45,1,0.1855
347,28,100.45,1,0.1846
348,27,100.45,1,0.1838
349,29,100.45,1,0.1829
350,47,100.45,1,0.1820
351,33,100.45,1,0.1812
352,40,99.45,1,0.1803
353,37,99.95,1,0.1795
354,50,99.35,1,0.1786
355,30,100.45,1,0.1778
356,32,100.45,1,0.1770
357,46,100.05,1,0.1761
358,29,100.45,1,0.1753
359,28,100.45,1,0.1745
360,50,100.45,1,0.1736
361,33,100.05,1,0.1728
362,26,100.45,1,0.1720
363,27,100.45,1,0.1712
364,32,100.45,1,0.1704
365,29,100.45,1,0.1696
366,32,100.45,1,0.1688
367,32,100.45,1,0.1680
368,40,100.45,1,0.1672
369,33,100.45,1,0.1664
370,57,100.45,1,0.1657
371,28,100.45,1,0.1649
372,29,100.45,1,0.1641
373,37,100.45,1,0.1633
374,26,100.45,1,0.1626
375,40,100.45,1,0.1618
376,29,100.45,1,0.1611
377,34,100.45,1,0.1603
378,39,99.85,1,0.1596
379,30,100.45,1,0.1588
380,32,100.05,1,0.1581
381,28,100.45,1,0.1573
382,47,100.45,1,0.1566
383,29,100.45,1,0.1559
384,33,100.45,1,0.1551
385,29,100.45,1,0.1544
386,29,100.45,1,0.1537
387,28,100.45,1,0.1530
388,28,100.45,1,0.1523
389,32,100.45,1,0.1516
390,27,100.45,1,0.1509
391,26,100.45,1,0.1501
392,37,100.45,1,0.1494
393,41,100.45,1,0.1488
394,39,100.45,1,0.1481
395,31,100.45,1,0.1474
396,28,100.45,1,0.1467
397,27,100.45,1,0.1460
398,28,100.45,1,0.1453
399,41,100.45,1,0.1447
400,27,100.45,1,0.1440
401,38,100.45,1,0.1433
402,31,100.45,1,0.1426
403,29,100.45,1,0.1420
404,33,100.25,1,0.1413
405,33,100.45,1,0.1407
406,25,100.45,1,0.1400
407,30,100.45,1,0.1394
408,26,100.45,1,0.1387
409,33,100.45,1,0.1381
410,32,100.45,1,0.1374
411,33,100.45,1,0.1368
412,28,100.45,1,0.1362
413,36,100.45,1,0.1356
414,30,100.45,1,0.1349
415,29,100.45,1,0.1343
416,42,100.25,1,0.1337
417,48,100.45,1,0.1331
418,40,100.05,1,0.1325
419,27,100.45,1,0.1318
420,34,100.45,1,0.1312
421,30,100.45,1,0.1306
422,26,100.45,1,0.1300
423,34,100.45,1,0.1294
424,27,100.45,1,0.1288
425,35,100.45,1,0.1282
426,27,100.45,1,0.1276
427,27,100.45,1,0.1271
428,31,100.45,1,0.1265
